question_number,question_text,option_a,option_b,option_c,option_d,correct_option
1,"Which of the following statements is true regarding Laterite soil in India ?
1) Laterite soil develops in areas with high temperature and heavy rainfall.
2) Laterite soil is rich in humus and found in West Bengal, Assam and Odisha.",Only 1 is true.,Only 2 is true.,Both 1 and 2 are True.,Both 1 and 2 are False.,A
2,Which one of the following sector has greater consumption share of water in India ?,Industrial sector,Agricultural sector,Domestic sector,Mining sector,B
3,Which of the following Indian state has recorded negative populatioh growth according to 2011 Indian population census ?,Kerala,Nagaland,Goa,Haryana,B
4,"Which of the following is not correctly
matched ?","Article 22.1 - No person who is arrested shall be in custody without being infomed, as soon as may be, of the ground for such arrest.",Article 22.1 - Right to be defended by a legal practitioner of her or his choice.,Article 22.4 - No law providing for preventive detention shall authorise the detention for a period longer than three months.,Article 22.2 - Parliament may by law prescribe the circumstances under which a person may be detained for a period longer than three months.,D
5,"Which of the following case is related to Zamindari System ?
1) Kameshwir Singh v/s State of Bihar
2) Ramesh Thaper v/s State of Madras
3) Motilal v/s state of Uttar pradesh
4) State of West Bengal v/s Subodh Gopal",1 and 2,"1,2 and 3",2 and 4,"Not 1,2,3 and 4",D
6,"What is true for planning in India?
1) In August 1937, the Congress Working Committee at its meeting in Wardha adopted a resolution of national reconstruction and social planning.
2) Subhash Chandra Bose, in his presidential speech at Haripura declared that the national state on the advice of planning commission would adopt a comprehensive scheme.
3) Modi Government renamed 'Planning Commission' as 'Niti Aayog'.
4) Subhash Chandra Bose announced the formation of a National Planning Committee with Jawaharlal Nehru as Chaiman in 1938.",1 and 3 are true.,3 and 2 are true.,All are True.,All are incorrect,C
7,Which of the following is the correct order in which the mentioned measures of development were introduced ?,"HDI (Human Development Index), Per-capita Income, PQLI(Physical Quantity of Life Index)","Per-capita Income, HDI, PQLI","PQLI, HDI, Per-capita Income","Per-capita Income, PQLI, HDI",D
8,"If the rupees per US Dollar exchange rate changes from  ₹ 60 to ₹ 65 in a time period by the market forces, it implies",Depreciation of Rupee,Devaluation of Rupee,Appreciation of Rupee,No change in exchange rate,A
9,"NITI Aayog has developed a composite index for each state / UT, which aggregates progress towards each Sustainable Development Goal (SDG), and classifies states in achievers, front-runners, performers and aspirants. On the basis of this composite index which of the following state is not a Front-Runner ?",Himachal pradesh,Kerala,Tamil Nadu,Gujarat,D
10,"Under Government of India's National Air Quality Monitoring Programme (NAMP) covering 312 cities / towns in 29 States and 6 Union Territories of the country, which of the following combination has been identified for regular monitoring at all the locations ?","Sulphur Dioxide (SO2), Nitrogen Dioxide (NO2), Suspended Particulate Matter (PM10) and Fine Particulate Matter (PM2.5)","Sulphur Dioxide (SO2), Nitrogen Dioxide (NO2) , Carbon Monoxide (CO), and Suspended Particulate Matter (PM10)","CO,NO2, PM10 and PM2.5","CO, NO2, Oxygen Difluoride(OF2) and PM2.5",A
